Total sizes:,,,
Used static DRAM,73828 bytes (50752 remain 59.3% used),,,
.data size,24908 bytes,,,
.bss  size,48920 bytes,,,
Used static IRAM,130634 bytes (438 remain 99.7% used),,,
.text size,129607 bytes,,,
.vectors size,1027 bytes,,,
Used Flash size ,1349255 bytes,,,
.text,1040963 bytes,,,
.rodata,308036 bytes,,,
Total image size,1504797 bytes (.bin may be padded larger),,,
Per-file contributions to ELF file:
Object File,DRAM .data,& 0.bss,IRAM0 .text,& 0.vectors,ram_st_total,Flash .text,& .rodata,& .rodata_noload,& .appdesc
pthread.c.obj,8,8,0,0,16,683,124391,0,0
x509_crt_bundle.S.obj,0,0,0,0,0,0,64061,0,0
ecp_curves.c.obj,0,0,0,0,0,6915,29540,0,0
phy_chip_v7.o,250,536,2182,0,2968,15864,0,0,0
mp3_decoder.c.obj,0,0,0,0,0,3739,14461,0,0
http_parser.c.obj,0,0,0,0,0,15205,734,0,0
ieee80211_output.o,2,21,2079,0,2102,12948,548,102,0
pp.o,1154,53,7264,0,8471,5620,639,0,0
wl_cnx.o,2,3889,277,0,4168,13313,1036,2447,0
libc_a-vfprintf.o,0,0,0,0,0,13553,576,0,0
phy_chip_v7_cal.o,175,54,4039,0,4268,9733,0,0,0
ieee80211_sta.o,12,38,1442,0,1492,11401,1035,1989,0
libc_a-svfprintf.o,0,0,0,0,0,13137,576,0,0
ieee80211_ioctl.o,4,112,271,0,387,11213,1941,524,0
pm.o,44,488,3335,0,3867,8795,1031,0,0
ff.c.obj,0,10,0,0,10,13005,185,0,0
ieee80211_hostap.o,1,41,0,0,42,11044,1030,580,0
tasks.c.obj,16,696,3172,0,3884,7712,701,0,0
ieee80211_scan.o,18,293,0,0,311,10963,591,2979,0
lld_evt.o,81,102,7115,0,7298,4305,0,0,0
phy_chip_v7_ana.o,167,50,2689,0,2906,8186,0,0,0
sae.c.obj,0,0,0,0,0,10971,32,0,0
sockets.c.obj,0,608,0,0,608,10559,330,0,0
nd6.c.obj,8,932,0,0,940,10764,111,0,0
ieee80211_ht.o,1,4,1173,0,1178,8403,1206,47,0
lld.o,2,0,59,0,61,10423,0,0,0
libc_a-svfiprintf.o,0,0,0,0,0,9394,1048,0,0
uart.c.obj,56,13,2406,0,2475,7483,471,0,0
libc_a-vfiprintf.o,0,0,0,0,0,9592,576,0,0
libc_a-svfscanf.o,0,0,0,0,0,9009,758,0,0
pvmp3_tables.cpp.obj,0,0,0,0,0,0,9442,0,0
ecp.c.obj,0,72,0,0,72,8892,236,0,0
tcp_in.c.obj,0,52,0,0,52,8698,154,0,0
llm.o,0,112,74,0,186,8751,0,0,0
wpa.c.obj,0,872,0,0,872,8792,0,0,0
ssl_tls.c.obj,26,0,0,0,26,8489,220,0,0
libc_a-svfiscanf.o,0,0,0,0,0,8157,318,0,0
trc.o,664,104,1441,0,2209,5388,906,0,0
wdev.o,121,133,4221,0,4475,3435,500,0,0
ble_gap.c.obj,0,132,0,0,132,8239,25,0,0
ble_sm.c.obj,0,436,0,0,436,7997,104,0,0
downloader.cpp.obj,0,11354,0,0,11354,8022,0,0,0
wpa_auth.c.obj,0,68,0,0,68,7662,0,0,0
esp_http_client.c.obj,0,0,0,0,0,7201,164,0,0
i2c.c.obj,48,10,1262,0,1320,5455,330,0,0
ble_gattc.c.obj,0,268,0,0,268,6651,351,0,0
lmac.o,48,181,1803,0,2032,4379,680,0,0
ieee80211_input.o,0,0,0,0,0,6337,483,1217,0
tlsf.c.obj,0,0,5391,0,5391,1133,276,0,0
cow-string-inst.o,0,16,0,0,16,6595,79,0,0
system.cpp.obj,0,5,0,0,5,6604,0,0,0
rsa.c.obj,0,0,0,0,0,6593,0,0,0
ble_att_svr.c.obj,0,846,0,0,846,6510,0,0,0
arch_main.o,492,19,941,0,1452,4975,0,0,0
wdt_hal_iram.c.obj,4832,0,1516,0,6348,0,0,0,0
ssl_tls12_server.c.obj,0,0,0,0,0,6192,6,0,0
gpio.c.obj,36,0,413,0,449,5154,500,0,0
tcp_out.c.obj,0,0,0,0,0,5677,426,0,0
audio_element.c.obj,0,0,0,0,0,5958,135,0,0
x509_crt.c.obj,0,0,0,0,0,6021,45,0,0
dhcp.c.obj,0,64,0,0,64,5771,226,0,0
tcp.c.obj,2,23,0,0,25,5573,368,0,0
i2s_common.c.obj,0,0,312,0,312,5337,251,0,0
api_msg.c.obj,0,0,0,0,0,5546,320,0,0
esp_sha512.c.obj,0,0,0,0,0,5055,768,0,0
sdmmc_host.c.obj,0,48,0,0,48,5446,337,0,0
ringbuf.c.obj,0,0,3304,0,3304,1766,605,0,0
spi_master.c.obj,0,12,2785,0,2797,2514,342,0,0
ssl_msg.c.obj,0,0,0,0,0,5510,0,0,0
esp_sha1.c.obj,0,0,0,0,0,5444,64,0,0
ieee80211_nvs.o,4,1284,0,0,1288,4915,491,0,0
ssl_tls12_client.c.obj,0,0,0,0,0,5320,0,0,0
ble_gatts.c.obj,28,54,0,0,82,5240,4,0,0
bignum.c.obj,0,0,0,0,0,5100,167,0,0
spi_common.c.obj,131,33,125,0,289,4763,205,0,0
ieee80211_api.o,20,17,0,0,37,4618,450,0,0
i2s_pdm.c.obj,0,0,0,0,0,4693,368,0,0
dns.c.obj,0,1323,0,0,1323,4941,88,0,0
string-inst.o,0,0,0,0,0,4857,96,0,0
vfs_uart.c.obj,116,20,234,0,370,4194,311,0,0
esp_netif_lwip.c.obj,0,21,0,0,21,4760,38,0,0
nvs_page.cpp.obj,0,0,0,0,0,4713,0,0,0
hli_vectors.S.obj,4380,0,281,0,4661,0,0,0,0
vfs_fat.c.obj,0,12,0,0,12,4568,84,0,0
vfs.c.obj,192,40,73,0,305,4363,15,0,0
nvs_storage.cpp.obj,0,0,0,0,0,4559,0,0,0
npl_os_freertos.c.obj,8,1705,0,0,1713,3787,732,0,0
bt.c.obj,126,0,800,0,926,2882,700,0,0
NimBLEAdvertising.cpp.ob,0,0,0,0,0,4465,0,0,0
lld_pdu.o,63,47,3416,0,3526,887,45,0,0
port.c.obj,3084,40,745,0,3869,501,56,0,0
queue.c.obj,0,0,1219,0,1219,2462,535,0,0
ip6.c.obj,0,0,0,0,0,3990,18,0,0
libc_a-strtod.o,0,0,0,0,0,3884,104,0,0
